epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,1987.56,0.49299,0.64304,0.42786,0.79489,0,0.99451,1,0.995,0.9078,0.99451,1,0.995,0.86485,0.44959,0.53224,0.40297,0.77836,0,0.000474071,0.000474071,0.000474071
56,2020.32,0.48964,0.67188,0.43206,0.7926,0,0.99355,1,0.995,0.90552,0.99355,1,0.995,0.87248,0.44781,0.54928,0.39741,0.77803,0,0.000456387,0.000456387,0.000456387
57,2053.49,0.48607,0.68497,0.43144,0.78419,0,0.99543,1,0.995,0.89921,0.99543,1,0.995,0.86824,0.49757,0.56151,0.39886,0.7821,0,0.000438703,0.000438703,0.000438703
58,2086.91,0.51726,0.69118,0.42794,0.79828,0,0.99636,1,0.995,0.9066,0.99636,1,0.995,0.86046,0.44931,0.53548,0.3953,0.77909,0,0.000421019,0.000421019,0.000421019
59,2119.99,0.48323,0.65058,0.41411,0.78884,0,0.99764,1,0.995,0.90512,0.99764,1,0.995,0.85348,0.4506,0.55239,0.39762,0.78002,0,0.000403335,0.000403335,0.000403335
60,2151.63,0.47033,0.66137,0.41575,0.78945,0,0.99526,1,0.995,0.90088,0.99526,1,0.995,0.88057,0.49683,0.56057,0.39117,0.78061,0,0.000385651,0.000385651,0.000385651
61,2180.92,0.47108,0.68315,0.41619,0.80083,0,0.99498,1,0.995,0.90313,0.99498,1,0.995,0.87413,0.48201,0.56784,0.39631,0.77778,0,0.000367967,0.000367967,0.000367967
62,2213.68,0.48669,0.62089,0.40891,0.79154,0,0.99634,1,0.995,0.9067,0.99634,1,0.995,0.87159,0.45633,0.54905,0.38303,0.7769,0,0.000350284,0.000350284,0.000350284
63,2246.36,0.45927,0.64105,0.39663,0.79043,0,0.99631,1,0.995,0.90004,0.99631,1,0.995,0.88859,0.47122,0.52792,0.38013,0.77928,0,0.0003326,0.0003326,0.0003326
64,2278.29,0.4577,0.62279,0.3959,0.78458,0,0.9955,1,0.995,0.90262,0.9955,1,0.995,0.87043,0.45454,0.53721,0.37498,0.77709,0,0.000314916,0.000314916,0.000314916
65,2310.45,0.4703,0.61563,0.40187,0.79632,0,0.99694,1,0.995,0.90194,0.99694,1,0.995,0.87415,0.46067,0.5252,0.37458,0.77573,0,0.000297232,0.000297232,0.000297232
66,2342.16,0.47459,0.6667,0.40934,0.78858,0,0.99743,1,0.995,0.89795,0.99743,1,0.995,0.87444,0.47498,0.54246,0.37409,0.77598,0,0.000279548,0.000279548,0.000279548
67,2374.92,0.45556,0.65221,0.40291,0.79388,0,0.99803,1,0.995,0.89952,0.99803,1,0.995,0.86623,0.48568,0.56579,0.37898,0.77699,0,0.000261864,0.000261864,0.000261864
68,2407.83,0.43666,0.5969,0.39681,0.79249,0,0.99802,1,0.995,0.91203,0.99802,1,0.995,0.86121,0.43218,0.53599,0.36535,0.77485,0,0.00024418,0.00024418,0.00024418
69,2440.24,0.44598,0.59843,0.3952,0.79434,0,0.99801,1,0.995,0.91777,0.99801,1,0.995,0.86814,0.41466,0.51974,0.35499,0.7744,0,0.000226497,0.000226497,0.000226497
70,2472.02,0.46509,0.63365,0.40094,0.79417,0,0.9977,1,0.995,0.91272,0.9977,1,0.995,0.87326,0.42115,0.53808,0.35478,0.7743,0,0.000208813,0.000208813,0.000208813
71,2503.02,0.4141,0.53799,0.39459,0.78171,0,0.99784,1,0.995,0.91284,0.99784,1,0.995,0.86659,0.42103,0.58873,0.35739,0.77396,0,0.000191129,0.000191129,0.000191129
72,2534.87,0.39647,0.58092,0.38146,0.77537,0,0.99814,1,0.995,0.91352,0.99814,1,0.995,0.8726,0.41769,0.57376,0.35114,0.77403,0,0.000173445,0.000173445,0.000173445
73,2565.96,0.41399,0.56177,0.38555,0.78581,0,0.99732,1,0.995,0.90764,0.99732,1,0.995,0.8871,0.43456,0.54424,0.35335,0.77509,0,0.000155761,0.000155761,0.000155761
74,2597.13,0.38425,0.54122,0.36886,0.78072,0,0.99717,1,0.995,0.91162,0.99717,1,0.995,0.88401,0.43008,0.54505,0.35393,0.77476,0,0.000138077,0.000138077,0.000138077
75,2628.99,0.39551,0.58901,0.37612,0.76888,0,0.99677,1,0.995,0.917,0.99677,1,0.995,0.8814,0.42906,0.54062,0.3519,0.77397,0,0.000120393,0.000120393,0.000120393
76,2656.06,0.37756,0.55272,0.36609,0.77878,0,0.99597,1,0.995,0.91461,0.99597,1,0.995,0.87751,0.42313,0.51677,0.34654,0.77364,0,0.000102709,0.000102709,0.000102709
77,2687.38,0.3916,0.5339,0.37271,0.77753,0,0.99553,1,0.995,0.91274,0.99553,1,0.995,0.88008,0.42355,0.51468,0.35557,0.7734,0,8.50255e-05,8.50255e-05,8.50255e-05
78,2716.02,0.40043,0.57289,0.38143,0.77343,0,0.99537,1,0.995,0.91196,0.99537,1,0.995,0.88066,0.42553,0.51935,0.35546,0.77331,0,6.73416e-05,6.73416e-05,6.73416e-05
79,2740.25,0.37194,0.53388,0.3608,0.77668,0,0.99513,1,0.995,0.91395,0.99513,1,0.995,0.8787,0.42827,0.52347,0.35214,0.77328,0,4.96578e-05,4.96578e-05,4.96578e-05
80,2772.93,0.37917,0.56962,0.36128,0.78056,0,0.99486,1,0.995,0.91815,0.99486,1,0.995,0.87789,0.42519,0.52147,0.34893,0.77307,0,3.19739e-05,3.19739e-05,3.19739e-05
